timestamp,percentage,depth,notional
2024-11-06 00:00:05,-5,259497342.00000000,4544230.11567500
2024-11-06 00:00:05,-4,226483587.00000000,3980898.77644400
2024-11-06 00:00:05,-3,197273053.00000000,3477542.76116300
2024-11-06 00:00:05,-2,147458360.00000000,2610459.78563500
2024-11-06 00:00:05,-1,93615346.00000000,1663568.01660200
2024-11-06 00:00:05,1,97560329.00000000,1748545.96863500
2024-11-06 00:00:05,2,132607481.00000000,2383476.64433300
2024-11-06 00:00:05,3,160105718.00000000,2886733.74050800
2024-11-06 00:00:05,4,185193923.00000000,3349936.40322900
2024-11-06 00:00:05,5,196023075.00000000,3551725.11152300
2024-11-06 00:00:41,-5,268391048.00000000,4705174.03562900
2024-11-06 00:00:41,-4,234580849.00000000,4128122.47583200
2024-11-06 00:00:41,-3,204891429.00000000,3616269.15617200
2024-11-06 00:00:41,-2,159487837.00000000,2825559.24003500
2024-11-06 00:00:41,-1,105762600.00000000,1880279.40750000
2024-11-06 00:00:41,1,108577579.00000000,1946133.32238600
2024-11-06 00:00:41,2,142667488.00000000,2564039.09631800
2024-11-06 00:00:41,3,169630011.00000000,3057923.19931800
2024-11-06 00:00:41,4,192361304.00000000,3477949.22643800
2024-11-06 00:00:41,5,202607500.00000000,3668957.88775800
2024-11-06 00:01:01,-5,286429155.00000000,5029373.82507800
2024-11-06 00:01:01,-4,248612789.00000000,4383425.43904200
2024-11-06 00:01:01,-3,218392806.00000000,3861454.77496200
2024-11-06 00:01:01,-2,172074810.00000000,3053494.44812400
2024-11-06 00:01:01,-1,106362057.00000000,1894875.83302900
2024-11-06 00:01:01,1,114085583.00000000,2048342.30356600
2024-11-06 00:01:01,2,150253481.00000000,2704903.33520400
2024-11-06 00:01:01,3,175891321.00000000,3175340.83735000
2024-11-06 00:01:01,4,198653622.00000000,3596582.35585400
2024-11-06 00:01:01,5,207743516.00000000,3766460.21008100
2024-11-06 00:01:31,-5,301098853.00000000,5282757.10415600
2024-11-06 00:01:31,-4,266613466.00000000,4694150.57502700
2024-11-06 00:01:31,-3,236888827.00000000,4181482.75309800
2024-11-06 00:01:31,-2,185701896.00000000,3289668.07864100
2024-11-06 00:01:31,-1,115994248.00000000,2062446.98996500
2024-11-06 00:01:31,1,111849789.00000000,2006485.79673000
2024-11-06 00:01:31,2,151046806.00000000,2717453.08929100
2024-11-06 00:01:31,3,177377801.00000000,3199690.26202500
2024-11-06 00:01:31,4,208128248.00000000,3767918.04008200
2024-11-06 00:01:31,5,219208058.00000000,3974535.33531800
2024-11-06 00:02:00,-5,304530182.00000000,5344901.95945600
2024-11-06 00:02:00,-4,270943039.00000000,4771605.15062300
2024-11-06 00:02:00,-3,241516264.00000000,4264081.71048700
2024-11-06 00:02:00,-2,189272357.00000000,3353875.47018600
2024-11-06 00:02:00,-1,118020935.00000000,2099346.94649300
2024-11-06 00:02:00,1,113848051.00000000,2042482.17138100
2024-11-06 00:02:00,2,152915828.00000000,2751178.08367700
2024-11-06 00:02:00,3,181794352.00000000,3280289.84555000
2024-11-06 00:02:00,4,210144716.00000000,3804206.09330900
2024-11-06 00:02:00,5,221150084.00000000,4009441.26749800
2024-11-06 00:02:30,-5,307225862.00000000,5392318.70283700
2024-11-06 00:02:30,-4,272464036.00000000,4798923.73176700
2024-11-06 00:02:30,-3,240537320.00000000,4248088.72763200
2024-11-06 00:02:30,-2,189003528.00000000,3349845.97050300
2024-11-06 00:02:30,-1,118405113.00000000,2106624.86411000
2024-11-06 00:02:30,1,116214150.00000000,2085265.69283900
2024-11-06 00:02:30,2,155487492.00000000,2797798.61460000
2024-11-06 00:02:30,3,186047106.00000000,3357943.27313000
2024-11-06 00:02:30,4,211549512.00000000,3829456.59088200
2024-11-06 00:02:30,5,222491591.00000000,4033516.48314700
2024-11-06 00:03:00,-5,307790740.00000000,5401223.12509400
2024-11-06 00:03:00,-4,273734526.00000000,4819960.16748600
2024-11-06 00:03:00,-3,245721616.00000000,4336929.93024700
2024-11-06 00:03:00,-2,194347905.00000000,3442198.53205700
2024-11-06 00:03:00,-1,123088512.00000000,2188239.10194600
2024-11-06 00:03:00,1,117341446.00000000,2104066.58231400
2024-11-06 00:03:00,2,155217149.00000000,2790751.41689100
2024-11-06 00:03:00,3,183778911.00000000,3313553.48582500
2024-11-06 00:03:00,4,210863536.00000000,3813589.42426900
2024-11-06 00:03:00,5,223754479.00000000,4053755.06038900
2024-11-06 00:03:30,-5,311381533.00000000,5468135.66044300
2024-11-06 00:03:30,-4,274312838.00000000,4835001.79931700
2024-11-06 00:03:30,-3,244544664.00000000,4320831.21840700
2024-11-06 00:03:30,-2,190973556.00000000,3386747.29346100
2024-11-06 00:03:30,-1,113491516.00000000,2021113.59468700
2024-11-06 00:03:30,1,111684695.00000000,2004642.93533700
2024-11-06 00:03:30,2,154077032.00000000,2774109.66494800
2024-11-06 00:03:30,3,182435535.00000000,3294380.56696100
2024-11-06 00:03:30,4,206543894.00000000,3740464.21936300
2024-11-06 00:03:30,5,216627687.00000000,3928830.73127600
2024-11-06 00:04:01,-5,304678648.00000000,5360602.07750000
2024-11-06 00:04:01,-4,272121689.00000000,4803685.61096800
2024-11-06 00:04:01,-3,240122957.00000000,4250375.45191900
2024-11-06 00:04:01,-2,189950544.00000000,3373862.60356400
2024-11-06 00:04:01,-1,115074977.00000000,2052220.50672900
2024-11-06 00:04:01,1,115313250.00000000,2072813.59015400
2024-11-06 00:04:01,2,156540884.00000000,2822068.00454900
2024-11-06 00:04:01,3,186604185.00000000,3374282.82527900
2024-11-06 00:04:01,4,212835759.00000000,3860273.20879400
2024-11-06 00:04:01,5,224311298.00000000,4075333.01174400
2024-11-06 00:04:31,-5,303266633.00000000,5337640.86013000
2024-11-06 00:04:31,-4,269765284.00000000,4764338.13402100
2024-11-06 00:04:31,-3,238555705.00000000,4224330.73308100
2024-11-06 00:04:31,-2,188564749.00000000,3350773.94930600
2024-11-06 00:04:31,-1,112098547.00000000,2000405.78127700
2024-11-06 00:04:31,1,114583115.00000000,2060666.36877700
2024-11-06 00:04:31,2,156338085.00000000,2819816.88104500
2024-11-06 00:04:31,3,186739452.00000000,3378811.59465900
2024-11-06 00:04:31,4,211840302.00000000,3844055.49091200
2024-11-06 00:04:31,5,223625144.00000000,4064946.27908100
2024-11-06 00:05:02,-5,307251529.00000000,5400569.99317900
2024-11-06 00:05:02,-4,271518644.00000000,4790120.36359900
2024-11-06 00:05:02,-3,242679355.00000000,4292073.24036700
2024-11-06 00:05:02,-2,189533792.00000000,3364493.90779200
2024-11-06 00:05:02,-1,116757375.00000000,2080467.28028800
2024-11-06 00:05:02,1,117550781.00000000,2111599.02936000
2024-11-06 00:05:02,2,160543283.00000000,2892478.55548400
2024-11-06 00:05:02,3,188687059.00000000,3409062.64742200
2024-11-06 00:05:02,4,220039021.00000000,3989380.94587900
2024-11-06 00:05:02,5,228964870.00000000,4156155.16064900
2024-11-06 00:05:31,-5,309774924.00000000,5444099.32780600
2024-11-06 00:05:31,-4,274415191.00000000,4840082.07857100
2024-11-06 00:05:31,-3,245038011.00000000,4332755.96671400
2024-11-06 00:05:31,-2,190384760.00000000,3378885.56410000
2024-11-06 00:05:31,-1,115837963.00000000,2063738.67007800
2024-11-06 00:05:31,1,115021799.00000000,2065846.69056500
2024-11-06 00:05:31,2,156673858.00000000,2822217.61252200
2024-11-06 00:05:31,3,187232733.00000000,3383139.21047700
2024-11-06 00:05:31,4,216227038.00000000,3919874.89782900
2024-11-06 00:05:31,5,225301273.00000000,4089382.47347000
2024-11-06 00:06:01,-5,305319064.00000000,5371647.25702500
2024-11-06 00:06:01,-4,271709072.00000000,4796549.11895400
2024-11-06 00:06:01,-3,237998645.00000000,4213496.14788400
2024-11-06 00:06:01,-2,184676845.00000000,3281756.18405300
2024-11-06 00:06:01,-1,112323193.00000000,2004064.14636000
2024-11-06 00:06:01,1,115761820.00000000,2081432.01899000
2024-11-06 00:06:01,2,156412044.00000000,2820125.42767800
2024-11-06 00:06:01,3,191318504.00000000,3461579.15584100
2024-11-06 00:06:01,4,216185070.00000000,3922620.81740100
2024-11-06 00:06:01,5,227724204.00000000,4138835.78674700
2024-11-06 00:06:31,-5,301104390.00000000,5298394.40873100
2024-11-06 00:06:31,-4,266294751.00000000,4702639.77526800
2024-11-06 00:06:31,-3,229612014.00000000,4067910.51181800
2024-11-06 00:06:31,-2,181785457.00000000,3232048.63637100
2024-11-06 00:06:31,-1,109084666.00000000,1947615.06176300
2024-11-06 00:06:31,1,121476543.00000000,2185885.54966200
2024-11-06 00:06:31,2,159116270.00000000,2870613.47898100
2024-11-06 00:06:31,3,189950637.00000000,3437538.12169800
2024-11-06 00:06:31,4,214027995.00000000,3884072.10868600
2024-11-06 00:06:31,5,226599955.00000000,4119797.35840700
2024-11-06 00:07:00,-5,306824899.00000000,5399863.59010300
2024-11-06 00:07:00,-4,272834797.00000000,4818127.21722100
2024-11-06 00:07:00,-3,236464024.00000000,4188797.72163900
2024-11-06 00:07:00,-2,185389279.00000000,3296061.98611600
2024-11-06 00:07:00,-1,111338209.00000000,1987750.38241700
2024-11-06 00:07:00,1,118804443.00000000,2137346.50978600
2024-11-06 00:07:00,2,160683073.00000000,2899007.92348800
2024-11-06 00:07:00,3,193113417.00000000,3495366.27458200
2024-11-06 00:07:00,4,218268648.00000000,3961877.04297800
2024-11-06 00:07:00,5,230840608.00000000,4197602.29269900
2024-11-06 00:07:30,-5,302826832.00000000,5323626.08752800
2024-11-06 00:07:30,-4,271606309.00000000,4789816.38473300
2024-11-06 00:07:30,-3,238029807.00000000,4209921.45196100
2024-11-06 00:07:30,-2,182477501.00000000,3240116.18652000
2024-11-06 00:07:30,-1,113683138.00000000,2026153.79496300
2024-11-06 00:07:30,1,116018585.00000000,2084775.34804600
2024-11-06 00:07:30,2,158207554.00000000,2851089.45194200
2024-11-06 00:07:30,3,189241357.00000000,3420769.06164800
2024-11-06 00:07:30,4,217898661.00000000,3951342.17559000
2024-11-06 00:07:30,5,231298090.00000000,4202121.49329100
2024-11-06 00:08:02,-5,309556041.00000000,5435909.89752900
2024-11-06 00:08:02,-4,273835731.00000000,4825883.60828200
2024-11-06 00:08:02,-3,239224329.00000000,4228243.74067400
2024-11-06 00:08:02,-2,183886118.00000000,3262959.17433200
2024-11-06 00:08:02,-1,111355075.00000000,1983821.47926700
2024-11-06 00:08:02,1,116717074.00000000,2095757.69142300
2024-11-06 00:08:02,2,156646384.00000000,2820746.56267400
2024-11-06 00:08:02,3,189051612.00000000,3415244.88397600
2024-11-06 00:08:02,4,214683142.00000000,3889553.09851000
2024-11-06 00:08:02,5,225475433.00000000,4091128.27552600
2024-11-06 00:08:32,-5,310444234.00000000,5459469.60143300
2024-11-06 00:08:32,-4,279843288.00000000,4936318.29410900
2024-11-06 00:08:32,-3,243937864.00000000,4316002.02160800
2024-11-06 00:08:32,-2,192623757.00000000,3420232.07872100
2024-11-06 00:08:32,-1,118413114.00000000,2110827.02313500
2024-11-06 00:08:32,1,117458251.00000000,2110257.36262900
2024-11-06 00:08:32,2,157652455.00000000,2840314.77156700
2024-11-06 00:08:32,3,188531115.00000000,3407167.37819700
2024-11-06 00:08:32,4,214454076.00000000,3887103.48664100
2024-11-06 00:08:32,5,227518641.00000000,4131625.57130500
2024-11-06 00:09:00,-5,312859441.00000000,5497019.58797700
2024-11-06 00:09:00,-4,277078999.00000000,4885802.40507100
2024-11-06 00:09:00,-3,244358935.00000000,4320768.05382900
2024-11-06 00:09:00,-2,190142549.00000000,3374746.46186100
2024-11-06 00:09:00,-1,116101423.00000000,2068778.67795100
2024-11-06 00:09:00,1,117136700.00000000,2103877.25713600
2024-11-06 00:09:00,2,159570998.00000000,2874449.44164000
2024-11-06 00:09:00,3,189222225.00000000,3418805.19759500
2024-11-06 00:09:00,4,214916515.00000000,3894468.81867100
2024-11-06 00:09:00,5,224423778.00000000,4072056.78371900
2024-11-06 00:09:32,-5,298939546.00000000,5245583.63514000
2024-11-06 00:09:32,-4,265250816.00000000,4670599.44511900
2024-11-06 00:09:32,-3,235365602.00000000,4155256.88304200
2024-11-06 00:09:32,-2,189497130.00000000,3356563.74498000
2024-11-06 00:09:32,-1,124599022.00000000,2214632.89231500
2024-11-06 00:09:32,1,117464800.00000000,2106836.95463400
2024-11-06 00:09:32,2,155756506.00000000,2800926.82055300
2024-11-06 00:09:32,3,183961699.00000000,3317267.73678100
2024-11-06 00:09:32,4,211524264.00000000,3826201.61388100
2024-11-06 00:09:32,5,224980186.00000000,4076950.11025500
2024-11-06 00:10:03,-5,308779941.00000000,5419797.40402500
2024-11-06 00:10:03,-4,274904802.00000000,4841578.07618300
2024-11-06 00:10:03,-3,241625323.00000000,4267288.40088300
2024-11-06 00:10:03,-2,191237036.00000000,3389190.96272000
2024-11-06 00:10:03,-1,120232907.00000000,2139007.36113100
2024-11-06 00:10:03,1,117108356.00000000,2101186.90576800
2024-11-06 00:10:03,2,156782509.00000000,2820783.19671300
2024-11-06 00:10:03,3,184484140.00000000,3328342.94866900
2024-11-06 00:10:03,4,210976974.00000000,3818009.75759900
2024-11-06 00:10:03,5,221717923.00000000,4018324.88782300
2024-11-06 00:10:30,-5,304778817.00000000,5349672.57851900
2024-11-06 00:10:30,-4,268502319.00000000,4730140.34458300
2024-11-06 00:10:30,-3,236387487.00000000,4175585.42223600
2024-11-06 00:10:30,-2,184662592.00000000,3273723.85892300
2024-11-06 00:10:30,-1,107424927.00000000,1912657.86550700
2024-11-06 00:10:30,1,105290308.00000000,1890418.30738900
2024-11-06 00:10:30,2,148185347.00000000,2669105.29237000
2024-11-06 00:10:30,3,175871823.00000000,3177109.77851900
2024-11-06 00:10:30,4,198946739.00000000,3604140.75630400
2024-11-06 00:10:30,5,209549186.00000000,3802135.93189200
2024-11-06 00:11:02,-5,304749362.00000000,5358995.08252000
2024-11-06 00:11:02,-4,272859081.00000000,4813645.56319600
2024-11-06 00:11:02,-3,235666708.00000000,4170697.61076400
2024-11-06 00:11:02,-2,184956969.00000000,3284828.96792000
2024-11-06 00:11:02,-1,113506424.00000000,2023867.93993400
2024-11-06 00:11:02,1,118714646.00000000,2134091.51164800
2024-11-06 00:11:02,2,157003519.00000000,2830052.68117300
2024-11-06 00:11:02,3,186898915.00000000,3379106.92171700
2024-11-06 00:11:02,4,213492850.00000000,3871802.68688900
2024-11-06 00:11:02,5,225583361.00000000,4098407.83325900
2024-11-06 00:11:32,-5,305319766.00000000,5371798.25334600
2024-11-06 00:11:32,-4,271719212.00000000,4796941.88742600
2024-11-06 00:11:32,-3,236042709.00000000,4179831.99608000
2024-11-06 00:11:32,-2,186142402.00000000,3307795.96084800
2024-11-06 00:11:32,-1,113813624.00000000,2030522.98909000
2024-11-06 00:11:32,1,105005987.00000000,1889158.69667100
2024-11-06 00:11:32,2,141866177.00000000,2559505.70501300
2024-11-06 00:11:32,3,171531840.00000000,3104853.84007000
2024-11-06 00:11:32,4,195374927.00000000,3546840.55848200
2024-11-06 00:11:32,5,207381996.00000000,3771895.65256000
2024-11-06 00:12:00,-5,305007048.00000000,5366955.15873100
2024-11-06 00:12:00,-4,272710461.00000000,4814522.15777900
2024-11-06 00:12:00,-3,238860497.00000000,4229204.57415400
2024-11-06 00:12:00,-2,187822912.00000000,3337325.89594400
2024-11-06 00:12:00,-1,114730715.00000000,2046759.25042400
2024-11-06 00:12:00,1,103116848.00000000,1854396.73908700
2024-11-06 00:12:00,2,143649646.00000000,2591061.97356800
2024-11-06 00:12:00,3,175006609.00000000,3167080.29603500
2024-11-06 00:12:00,4,199709289.00000000,3624874.71650500
2024-11-06 00:12:00,5,212266340.00000000,3860180.58268500
2024-11-06 00:12:32,-5,305835521.00000000,5379405.35966300
2024-11-06 00:12:32,-4,274471091.00000000,4843123.52504800
2024-11-06 00:12:32,-3,243965974.00000000,4316190.49389000
2024-11-06 00:12:32,-2,188820701.00000000,3353246.49616100
2024-11-06 00:12:32,-1,116712426.00000000,2080660.70946600
2024-11-06 00:12:32,1,114715932.00000000,2060999.62449300
2024-11-06 00:12:32,2,157552135.00000000,2839121.10464000
2024-11-06 00:12:32,3,186404524.00000000,3368797.90946400
2024-11-06 00:12:32,4,212858227.00000000,3858595.69965300
2024-11-06 00:12:32,5,225524341.00000000,4095703.54074600
2024-11-06 00:13:02,-5,290665233.00000000,5118201.03900700
2024-11-06 00:13:02,-4,254986424.00000000,4506871.22926400
2024-11-06 00:13:02,-3,222721853.00000000,3947958.61586300
2024-11-06 00:13:02,-2,173204488.00000000,3081636.83752300
2024-11-06 00:13:02,-1,104391101.00000000,1864986.63046600
2024-11-06 00:13:02,1,95067430.00000000,1712782.55185400
2024-11-06 00:13:02,2,141145979.00000000,2551565.66116800
2024-11-06 00:13:02,3,172902343.00000000,3136294.22470900
2024-11-06 00:13:02,4,196787086.00000000,3579728.10620100
2024-11-06 00:13:02,5,208236855.00000000,3794520.11561000
2024-11-06 00:13:32,-5,299627981.00000000,5274465.15582200
2024-11-06 00:13:32,-4,267288646.00000000,4720810.00777100
2024-11-06 00:13:32,-3,232622522.00000000,4120928.27931500
2024-11-06 00:13:32,-2,181100578.00000000,3220348.02334100
2024-11-06 00:13:32,-1,113014615.00000000,2017405.62878700
2024-11-06 00:13:32,1,105841367.00000000,1904991.63208600
2024-11-06 00:13:32,2,148739145.00000000,2685344.36079300
2024-11-06 00:13:32,3,179055540.00000000,3242845.35906700
2024-11-06 00:13:32,4,204468146.00000000,3714118.49891400
2024-11-06 00:13:32,5,217354688.00000000,3955670.85691800
2024-11-06 00:14:02,-5,287186218.00000000,5056039.09968100
2024-11-06 00:14:02,-4,251306220.00000000,4441223.35058900
2024-11-06 00:14:02,-3,217238370.00000000,3851018.08590800
2024-11-06 00:14:02,-2,166878589.00000000,2970188.61868800
2024-11-06 00:14:02,-1,103912747.00000000,1856947.96442600
2024-11-06 00:14:02,1,100737201.00000000,1814736.78457300
2024-11-06 00:14:02,2,144470611.00000000,2610841.41534500
2024-11-06 00:14:02,3,173432694.00000000,3144001.64302800
2024-11-06 00:14:02,4,195749723.00000000,3558311.91252200
2024-11-06 00:14:02,5,206128163.00000000,3753019.12935100
2024-11-06 00:14:31,-5,302794708.00000000,5334432.72052600
2024-11-06 00:14:31,-4,268431652.00000000,4745741.48509500
2024-11-06 00:14:31,-3,234921023.00000000,4165444.96186000
2024-11-06 00:14:31,-2,184614005.00000000,3285412.04600500
2024-11-06 00:14:31,-1,114473809.00000000,2045305.59778500
2024-11-06 00:14:31,1,103525082.00000000,1864685.35934600
2024-11-06 00:14:31,2,148598492.00000000,2685103.72853100
2024-11-06 00:14:31,3,177576678.00000000,3218534.35533200
2024-11-06 00:14:31,4,201149964.00000000,3655963.01444100
2024-11-06 00:14:31,5,213154269.00000000,3881139.17801200
2024-11-06 00:15:00,-5,298986453.00000000,5267411.15487000
2024-11-06 00:15:00,-4,264911897.00000000,4683665.69076100
2024-11-06 00:15:00,-3,231409062.00000000,4103489.74746200
2024-11-06 00:15:00,-2,180323133.00000000,3209723.22769700
2024-11-06 00:15:00,-1,113641406.00000000,2030611.50728600
2024-11-06 00:15:00,1,105842372.00000000,1906463.91435500
2024-11-06 00:15:00,2,150915251.00000000,2726872.59692700
2024-11-06 00:15:00,3,180105297.00000000,3264204.88552500
2024-11-06 00:15:00,4,204758196.00000000,3721648.37614500
2024-11-06 00:15:00,5,216762501.00000000,3946824.53971600
2024-11-06 00:15:30,-5,309127302.00000000,5434172.55282200
2024-11-06 00:15:30,-4,274777672.00000000,4847239.77918900
2024-11-06 00:15:30,-3,245271730.00000000,4337754.26366200
2024-11-06 00:15:30,-2,194286805.00000000,3448167.58174500
2024-11-06 00:15:30,-1,118944618.00000000,2119296.05924000
2024-11-06 00:15:30,1,109262517.00000000,1963332.07754300
2024-11-06 00:15:30,2,151668281.00000000,2733478.81751900
2024-11-06 00:15:30,3,175489928.00000000,3170565.17880800
2024-11-06 00:15:30,4,206116692.00000000,3737130.39074800
2024-11-06 00:15:30,5,216686357.00000000,3934575.43511500
2024-11-06 00:16:02,-5,313295493.00000000,5510581.18819200
2024-11-06 00:16:02,-4,282473471.00000000,4983451.86381400
2024-11-06 00:16:02,-3,248223309.00000000,4391756.93342500
2024-11-06 00:16:02,-2,193410577.00000000,3434944.67133700
2024-11-06 00:16:02,-1,118721476.00000000,2116811.28780100
2024-11-06 00:16:02,1,101316294.00000000,1821702.19107000
2024-11-06 00:16:02,2,144394091.00000000,2604240.88647400
2024-11-06 00:16:02,3,174810137.00000000,3162653.31321800
